epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,10586.2,0.31452,0.19397,0.81992,0.95924,0.79093,0.8777,0.82729,0.65763,0.33454,1.02811,0.000767375,0.000767375,0.000767375
119,10661.5,0.31442,0.19367,0.81736,0.94317,0.79102,0.9216,0.86873,0.6729,0.31135,1.02596,0.00076325,0.00076325,0.00076325
120,10736.2,0.32095,0.19841,0.82247,0.87258,0.94389,0.92812,0.88547,0.65893,0.31788,1.00162,0.000759125,0.000759125,0.000759125
121,10811.2,0.31319,0.19418,0.82398,0.96103,0.94638,0.97015,0.91957,0.64713,0.32782,0.99772,0.000755,0.000755,0.000755
122,10886.3,0.31569,0.19696,0.82218,0.9417,0.78748,0.88486,0.83868,0.64136,0.31785,0.99001,0.000750875,0.000750875,0.000750875
123,10961.1,0.31243,0.19636,0.81681,0.95306,0.81068,0.89651,0.8461,0.65176,0.33111,1.00853,0.00074675,0.00074675,0.00074675
124,11036.3,0.30882,0.1928,0.81479,0.94932,0.82304,0.89063,0.84206,0.65394,0.33185,0.99601,0.000742625,0.000742625,0.000742625
125,11110.9,0.30124,0.18861,0.81248,0.92728,0.95169,0.97598,0.91632,0.68068,0.32536,1.01534,0.0007385,0.0007385,0.0007385
126,11185,0.29846,0.18452,0.81824,0.96245,0.81135,0.93576,0.88985,0.65821,0.32543,0.99143,0.000734375,0.000734375,0.000734375
127,11259.5,0.29406,0.18129,0.81505,0.85515,0.89516,0.9383,0.89301,0.64081,0.31159,0.96067,0.00073025,0.00073025,0.00073025
128,11334.2,0.2989,0.18413,0.81633,0.9712,0.95141,0.97039,0.92482,0.63605,0.28968,0.98047,0.000726125,0.000726125,0.000726125
129,11410.6,0.29775,0.18463,0.81402,0.95281,0.9382,0.9652,0.91525,0.63368,0.30441,0.98059,0.000722,0.000722,0.000722
130,11485.6,0.30048,0.18952,0.81528,0.94838,0.93334,0.97236,0.91491,0.65536,0.31298,1.00924,0.000717875,0.000717875,0.000717875
131,11560.7,0.30384,0.18739,0.81891,0.94757,0.9424,0.96828,0.91559,0.64055,0.30673,0.98741,0.00071375,0.00071375,0.00071375
132,11635.2,0.29539,0.1839,0.81524,0.84044,0.80531,0.88948,0.8446,0.63462,0.30462,0.9849,0.000709625,0.000709625,0.000709625
133,11709.8,0.30358,0.18775,0.81603,0.87279,0.91712,0.9262,0.86852,0.63284,0.30224,0.97673,0.0007055,0.0007055,0.0007055
